word,meaning,translation,root,type,process meaning,normalized form
parÉjo,"the same, side by side; be the same (man -)",same,rÉjo,prefix,causative/allowative,parejo
kaparÉja,"(f.), partner","(f.), partner",kaparÉja,-,-,kapareja
kaparÉjo,(m.) partner,partner,kaparÉjo,-,-,kaparejo
parÉs,"pairs of sponsors at wedding, baptism, etc. Each pair is composed of a man and a woman, who thereby attain the relationship of compadre and comadre respectively to the parents of the child or couple involved.",pairs sponsors,rÉs,prefix,causative/allowative,pares
pári,priest (term of reference only),priest,pári,-,-,pari
paroñgtál,to appear (on -),appear,roñgtál,prefix,causative/allowative,parongtal
pásak,nail; to nail (man -),nail,pásak,-,-,pasak
pasál,"to teach to perform a task (mañgi -); to practice, rehearse (man -)",teach to,sál,prefix,causative/allowative,pasal
inpanpasál,exercise,exercise,sál,prefix,instrumental focus (completed),inpanpasal
pasamáno,handshake; to shake hands,handshake,samáno,prefix,causative/allowative,pasamano
pasáñg,haughtiness; proud,haughtiness,sáñg,prefix,causative/allowative,pasang
pásas,raisins,raisins,pásas,-,-,pasas
pásen,"place, location",place,pás,suffix,patient focus (non-completed),pasen
pasiár,"to go around (from house to house, etc.) (man -); to take around (i -)",around,siár,prefix,causative/allowative,pasiar
pásig,jar (for storing food etc.),jar,pásig,-,-,pasig
pasílio,aisle,aisle,sílio,prefix,causative/allowative,pasilio
pasión,gospel account of the passion of Jesus Christ; to chant the text of the Passion (man -),gospel account,sión,prefix,causative/allowative,pasion
paskó,Christmas; Easter,christmas,skó,prefix,causative/allowative,pasko
pamaskoán,something (usu. food) with which,something with which,askoán,nasal_prefix,causative/instrumental nasal-assimilating,pamaskoan
ágew na Paskó,Christmas Day,christmas day,ágew na Paskó,-,-,agew na pasko
Domíngo de Pásko,Easter Sunday,easter sunday,Domíngo de Pás,suffix,1sg genitive enclitic,domingo de pasko
páslek,"to appoint, commission, establish",appoint,páslek,-,-,paslek
pasnók,anger; get angry (man -),anger,snók,prefix,causative/allowative,pasnok
1pasó,cylindrical earthen jar,cylindrical earthen jar,1pasó,-,-,1paso
2pasó,"passing, departing",passing,2pasó,-,-,2paso
pások,cautery; to cauterize,cautery,pások,-,-,pasok
pásol,field; uneven ground,field,pásol,-,-,pasol
kapásolán,rice-fields,rice-fields,kapásolán,-,-,kapasolan
pasolán,handle of an axe or hoe,handle an,solán,prefix,causative/allowative,pasolan
pasóot,force; act violently (man -),force,sóot,prefix,causative/allowative,pasoot
1páta,to crush,crush,1pá,suffix,1du inclusive genitive enclitic,1pata
2páta,to drop down from above,drop down,2pá,suffix,1du inclusive genitive enclitic,2pata
3páta,a tree the wood of which is light and good,tree the,3pá,suffix,1du inclusive genitive enclitic,3pata
paták,to drip,drip,ták,prefix,causative/allowative,patak
sankapaták,a single drop,single drop,sankapaták,-,-,sankapatak
patánir,"to depart, take one’s leave (man -)",depart,tánir,prefix,causative/allowative,patanir
1patáñg,frog,frog,1patáñg,-,-,1patang
2patáñg,to consult,consult,2patáñg,-,-,2patang
patátas,potatoes,potatoes,tátas,prefix,causative/allowative,patatas
patáw,buoy; to float or drift on the surface of a liquid,buoy,táw,prefix,causative/allowative,pataw
patáy,to put ash or earth on fish so they will not be slippery (i.e. so they can be held firmly when cleaning etc.); to clean intestines thoroughly (,put ash,táy,prefix,causative/allowative,patay
pateñgél,to be close to (on -),close to,teñgél,prefix,causative/allowative,patengel
patéy,to die (on-); to kill (-en); to butcher (maN-); death,die,téy,prefix,causative/allowative,patey
páti,(of rice being cooked) to boil over (man -),to boil over,páti,-,-,pati
patí,"even, including, together with",even,tí,prefix,causative/allowative,pati
